r_radoniaina11, 463-2:48:59, 600-2:47:50, 570-2:55:47
valdotsiarohasi1, 325-2:09:51, 33-1:39:11, 270-1:03:22
ramamj, 300-0:57:22, 871-4:00:21
nyainarazafindr1, 1307-2:56:44, 655-2:42:58, 694-2:44:37
andryhenintsoa, 1200-2:24:32, 600-0:55:34, 523-3:13:40
Antenaina, 600-1:47:22, 840-4:21:18, 571-3:41:55
afmika, 600-2:59:08, 337-2:27:32, 900-5:08:08
ratife, 483-2:58:16
teboka_roa, 300-1:03:55
fanantenan_1, 250-0:39:46
aryna369, 200-0:10:31
kimi_no_a, 130-0:52:13
tiantsoa_r1, 110-0:43:02
sedera-tax, 25-0:18:21
diamondraras, 600-1:56:30
puchka, 600-2:19:30, 571-2:26:07
fitiavana_raman1, 300-0:44:38
dinasoarakoto13, 271-2:06:10